year,month,geog,fips,statecd,theme_id,indic_id,Num_Foreclose_Condo,Num_Foreclose_SFH,Num_Foreclose_Comm,Num_Foreclose_Land,Num_Foreclose_Tot,Num_SNAP_Partic
2008,2,Alexandria,51510,51,2,205,18,8,,,26,
2008,3,Alexandria,51510,51,2,205,12,7,1,,20,
2008,4,Alexandria,51510,51,2,205,16,6,,,22,
2008,5,Alexandria,51510,51,2,205,24,12,,,36,
2008,6,Alexandria,51510,51,2,205,18,13,,,31,
2008,7,Alexandria,51510,51,2,205,23,14,,,37,
2008,8,Alexandria,51510,51,2,205,28,17,,,45,
2008,9,Alexandria,51510,51,2,205,32,12,,,44,
2008,10,Alexandria,51510,51,2,205,20,14,,,34,
2008,11,Alexandria,51510,51,2,205,14,5,,,19,
2008,12,Alexandria,51510,51,2,205,28,13,,,41,
2009,1,Alexandria,51510,51,2,205,12,10,,,22,
2009,2,Alexandria,51510,51,2,205,19,6,,,25,
2009,3,Alexandria,51510,51,2,205,11,6,1,,18,
2009,4,Alexandria,51510,51,2,205,10,11,,,21,
2009,5,Alexandria,51510,51,2,205,13,5,2,,20,
2009,6,Alexandria,51510,51,2,205,15,12,,,27,
2009,7,Alexandria,51510,51,2,205,13,9,,,22,
2009,8,Alexandria,51510,51,2,205,29,8,1,,38,
2009,9,Alexandria,51510,51,2,205,18,5,,,23,
2009,10,Alexandria,51510,51,2,205,17,6,,,23,
2009,11,Alexandria,51510,51,2,205,10,11,1,,22,
2009,12,Alexandria,51510,51,2,205,21,6,1,,28,
2010,1,Alexandria,51510,51,2,206,16,7,,,23,7669
2010,2,Alexandria,51510,51,2,206,12,5,,,17,7614
2010,3,Alexandria,51510,51,2,206,33,5,1,,39,7763
2010,4,Alexandria,51510,51,2,206,22,8,,,30,7811
2010,5,Alexandria,51510,51,2,206,17,8,,,25,7873
2010,6,Alexandria,51510,51,2,206,20,5,,,25,7961
2010,7,Alexandria,51510,51,2,206,15,1,1,,17,8030
2010,8,Alexandria,51510,51,2,206,21,7,1,1,30,8021
2010,9,Alexandria,51510,51,2,206,31,8,2,2,43,8177
2010,10,Alexandria,51510,51,2,206,22,5,,,27,8189
2010,11,Alexandria,51510,51,2,206,14,7,1,,22,8214
2010,12,Alexandria,51510,51,2,206,8,2,,,10,8211
2011,1,Alexandria,51510,51,2,205,6,2,,,8,
2011,2,Alexandria,51510,51,2,205,9,3,,,12,
2011,3,Alexandria,51510,51,2,205,10,4,,,14,
2011,4,Alexandria,51510,51,2,205,6,1,,,7,
2011,5,Alexandria,51510,51,2,205,13,2,1,,16,
2011,6,Alexandria,51510,51,2,205,13,9,,,22,
2011,7,Alexandria,51510,51,2,205,10,6,,,16,
2011,8,Alexandria,51510,51,2,205,20,5,,,25,
2011,9,Alexandria,51510,51,2,205,15,3,,,18,
2011,10,Alexandria,51510,51,2,205,12,4,0,,16,
2011,11,Alexandria,51510,51,2,205,13,1,0,,14,
2011,12,Alexandria,51510,51,2,205,9,2,0,,11,
