year,geog,fips,statecd,theme_id,indic_id,Pct_MedianOwnerCosts_Income,MOE_MedianOwnerCosts_Income,Num_Homeless,Num_RentBelow50Pct_Inc,Num_RentBelow60Pct_Inc,Median_GrossRent,MOE_GrossRent,Denom_Students,Num_Free_Lunch_Elig,Num_RedPrice_Lunch_Elig,Num_FRP_Lunch_Elig,Pct_FRP_Lunch_Elig,pct_3plus_adults_encourage,pct_adults_w_healthcare,num_schip_partic,pct_deferred_care,num_prenatal_1st_tri,den_prenatal_1st_tri,pct_prenatal_1st_tri,num_hiv_diag,rate_hiv_diag,num_adult_good_health,pct_adult_good_health,num_adult_vgood_health,pct_adult_vgood_health,num_adult_exc_health,pct_adult_exc_health,num_adult_goodexc_health,pct_adult_goodexc_health,num_flushot,pct_flushot,num_fluspray,pct_fluspray,num_bmi_under,pct_bmi_under,num_bmi_healthy,pct_bmi_healthy,num_bmi_over,pct_bmi_over,num_bmi_obese,pct_bmi_obese,denom_bmi,num_bmi_over_obese,pct_bmi_over_obese,Rate_HeartDis_Mortality,year_range_start,year_range_end,Rate_Cancer_Mortality,Rate_Infant_Mortality,num_teenpreg,denom_teenpreg,rate_teenpreg_1000,pct_walked_work,moe_walked_work,pct_biked_work,moe_biked_work,pct_tree_canopy,num_miles_sharedusepaths,pct_publictransit_work,moe_publictransit_work,rate_child_abuse_cases,num_homicide,num_rape,num_robbery,num_agg_assault,num_burglary,num_larceny,num_autotheft,num_violent_crime,num_property_crime,num_violent_property_crime,num_vandalism,num_prostitution,num_drug_offenses,num_gambling,num_disorderly_conduct,num_dui,num_drunkenness,num_liquorlaw,num_total_nuisance_crimes,avg_response_time_fires,pct_suicidal_grade7,pct_suicidal_grade8,pct_suicidal_grade9,pct_suicidal_grade10,pct_suicidal_grade11,pct_suicidal_grade12,pct_suicidal_grades7_12,avg_days_mental_unhealthy,pct_adult_smokers,pct_youth_never_smoked_gr7,pct_youth_never_smoked_gr8,pct_youth_never_smoked_gr9,pct_youth_never_smoked_gr10,pct_youth_never_smoked_gr11,pct_youth_never_smoked_gr12,pct_youth_never_smoked_gr7_12,pct_used_alcohol_gr7,pct_used_alcohol_gr8,pct_used_alcohol_gr9,pct_used_alcohol_gr10,pct_used_alcohol_gr11,pct_used_alcohol_gr12,pct_used_alcohol_gr7_12,num_eat_5plus_fruitsveg,pct_eat_5plus_fruitsveg,num_wic_partic,num_inspections,num_health_violations,num_ozone_days,num_so2_days,num_airqualityaction_days,num_health_complaints,pct_solidwaste_recycled,median_hh_income,moe_median_hh_income,pct_pop_workforce,moe_pop_workforce,pct_poverty,moe_poverty,pct_nclb_disad_grad,pct_nclb_lep_grad,pct_nclb_hisp_grad,pct_nclb_white_grad,pct_nclb_black_grad,pct_nclb_swd_grad,pct_nclb_all_grad,pct_fed_disad_grad,pct_fed_lep_grad,pct_fed_hisp_grad,vpct_fed_white_grad,pct_fed_black_grad,pct_fed_swd_grad,pct_fed_all_grad,num_laborforce,num_employed,num_unemployed,rate_unemployment,pct_hsdiploma_ged,moe_hsdiploma_ged,pct_retail_vacancy_low145,pct_retail_vacancy_mid156,pct_retail_vacancy_up39,pct_retail_vacancy_total,denom_prenatal_1st_tri
2004,Alexandria,51510,51,8,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229674219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alexandria,51510,51,8,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154105702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Alexandria,51510,51,8,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216510519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Alexandria,51510,51,8,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03987386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Alexandria,51510,51,8,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059237392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Alexandria,51510,51,8,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122532335,0.82,0.74,0.73,0.64,0.6,0.49,0.67,15,14,29,30,32,40,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alexandria,51510,51,8,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074005652,0.86,0.76,0.76,0.64,0.63,0.55,0.73,9,15,19,25,27,43,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alexandria,51510,51,9,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58042,0.05629194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Alexandria,51510,51,9,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27786,0.026948207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Alexandria,51510,51,9,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38112,0.036962862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alexandria,51510,51,9,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17096,0.016580528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Alexandria,51510,51,9,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33035,0.032038941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Alexandria,51510,51,9,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31245,0.030302913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Alexandria,51510,51,9,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Alexandria,51510,51,9,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28636,0.027772578,2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alexandria,51510,51,9,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alexandria,51510,51,9,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538,4230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alexandria,51510,51,10,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Alexandria,51510,51,10,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Alexandria,51510,51,10,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Alexandria,51510,51,10,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Alexandria,51510,51,10,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alexandria,51510,51,10,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Alexandria,51510,51,10,1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Alexandria,51510,51,10,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,11,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Alexandria,51510,51,10,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Alexandria,51510,51,10,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Alexandria,51510,51,10,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,304,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alexandria,51510,51,10,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,10,242,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alexandria,51510,51,11,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56054,,0.744262808,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81303,79110,2193,0.026973174,,,,,,,
2002,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83557,80699,2858,0.034204196,,,,,,,
2003,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83579,81083,2496,0.029863961,,,,,,,
2004,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85197,82928,2269,0.026632393,,,,,,,
2005,Alexandria,51510,51,11,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66116,6222,0.753602518,0.019,0.059,0.017,,,,,,,,,,,,,,,85299,83111,2188,0.025650945,,,,,,,
2006,Alexandria,51510,51,11,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80449,3110,0.771878064,0.023,0.043,0.016,,,,,,,,,,,,,,,86955,85042,1913,0.021999885,0.921,0.017,,,,,
2007,Alexandria,51510,51,11,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80806,4533,0.74137931,0.02,0.082,0.019,,,,,,,,,,,,,,,89747,87751,1996,0.022240298,0.917,0.018,,,,,
2008,Alexandria,51510,51,11,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86682,6961,0.769731447,0.021,0.073,0.023,70,71,58,87,76,76,76,,,,,,,,92873,90292,2581,0.027790639,0.895,0.027,,,,,
2009,Alexandria,51510,51,11,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77095,6182,0.756490306,0.024,0.099,0.027,77,68,65,87,79,85,78,,,,,,,,95808,91130,4678,0.04882682,0.913,0.021,0.042,0.056,0.07,0.049,
2010,Alexandria,51510,51,11,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77793,5014,0.784676711,0.022,0.099,0.025,76,68,69,86,79,81,79,59,57,53,81,67,35,67,96701,92027,4674,0.048334557,0.896,0.022,0.039,0.061,0.05,0.048,
2011,Alexandria,51510,51,11,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,0.047,0.038,0.052,
2011,Arlington,51013,51,2,202,,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Arlington,51013,51,2,204,0.176,,,,,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Arlington,51013,51,2,204,0.22,0.014,,,,1261,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Arlington,51013,51,2,204,0.212,0.011,,,,1261,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Arlington,51013,51,2,204,0.214,0.011,462,,,1436,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Arlington,51013,51,2,204,0.22,0.012,410,,,1462,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Arlington,51013,51,2,204,0.22,0.011,511,,,1591,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Arlington,51013,51,2,204,0.216,0.01,531,,,1598,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.985,,5.703807935,,,,,,41061,0.25565497,54597,0.33993313,50780,0.31616763,146438,0.9118,75740,0.544,,,15245,0.09664087,92005,0.583236661,41251,0.261497696,9248,0.058624777,157749,50499,0.320122473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.888,,,,,,,,22585,0.18535693,49275,0.40440392,41202,0.33814815,113062,0.9279,10198,0.329,,,4414,0.03932679,57311,0.51061574,37519,0.334277747,12995,0.11577972,112239,50514,0.450057467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.91,,,,,,,,17197,0.10891208,54285,0.34379789,73905,0.46805533,145387,0.9208,53348,0.344,,,2755,0.01798221,97043,0.633411006,41183,0.268806256,12226,0.079800531,153207,53409,0.348606787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.926,,10.49153954,,,,,,43299,0.31097561,39363,0.28270706,47074,0.33808785,129736,0.9318,73072,0.533,,,726,0.00530516,74307,0.542989302,49250,0.359888343,12565,0.091817199,136848,61815,0.451705542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.862,,6.328920936,,,,,,29058,0.26059818,28342,0.25417694,44394,0.39813461,101794,0.9129,37821,0.341,2259,0.02,955,0.00861595,46536,0.419844642,43170,0.389476818,20180,0.182062594,110841,63350,0.571539412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.928,,5.776286148,,,,,,30526,0.28068853,36666,0.33714622,33256,0.30579105,100448,0.9236,23272,0.215,1916,0.018,2354,0.02194954,41005,0.382345262,51275,0.47810641,12612,0.117598792,107246,63887,0.595705201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.926,,7.415117364,,,,,,51023,0.40695013,36274,0.2893148,29427,0.23470438,116724,0.931,30717,0.249,1302,0.011,2657,0.02156918,50080,0.406543004,28277,0.229549052,42171,0.342338759,123185,70448,0.571887811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.864,,8.042221464,,,,,,27088,0.21455332,55087,0.43632231,34978,0.27704688,117153,0.9279,59862,0.474,691,0.005,96,0.00076841,68169,0.545640098,36286,0.290441353,20383,0.163150143,124934,56669,0.453591496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.905,,8.092312981,,,,,,25150,0.22752357,38112,0.34478641,33715,0.30500823,96977,0.8773,60521,0.548,,,4019,0.03766883,54980,0.515310283,32191,0.301716139,15503,0.145304753,106693,47694,0.447020892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.934,,8.052798779,,,,,,15558,0.12845006,44158,0.36457757,52360,0.43229498,112076,0.9253,60861,0.528,3186,0.028,2504,0.02084704,70595,0.587738213,33576,0.27953677,13438,0.111877982,120113,47014,0.391414751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Arlington,51013,51,4,408,,,,,,,,,,,,,,0.953,,9.036022157,,,,,,60500,0.39541191,42771,0.27953988,35399,0.23135845,138670,0.9063,70908,0.467,4078,0.027,4344,0.0319548,74608,0.548822292,35143,0.258514661,21847,0.160708243,135942,56990,0.419222904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Arlington,51013,51,5,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,1,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Arlington,51013,51,5,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.2,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Arlington,51013,51,5,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.2,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Arlington,51013,51,5,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,2.1,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Arlington,51013,51,5,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,1.2,0.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Arlington,51013,51,5,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,0.9,1.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
